Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO_DISCAPACIDAD,Value
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,44.82
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,35.29
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,26.32
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,32.44
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,29.11
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,25.81
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,23.38
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,20.12
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,12.27
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,13.40
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,15.14
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,18.73
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,19.43
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,17.44
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,14.23
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,11.15
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,9.59
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,8.71
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,8.40
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,11.88
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,8.62
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,6.66
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,54.89
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,55.24
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,52.98
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,51.90
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,52.34
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,55.60
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,57.65
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,58.98
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,61.57
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,61.42
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,57.07
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,57.60
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,63.41
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,65.03
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,9.90
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,8.99
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,9.31
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,6.44
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,8.26
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,10.52
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,10.59
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,10.53
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,9.91
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,9.92
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,8.39
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,6.67
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,10.16
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,11.76
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-13.96
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-12.96
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-11.87
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-13.50
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-11.94
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-14.94
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-14.08
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-13.62
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-13.74
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-11.96
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-13.04
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-11.04
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-11.11
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-10.33
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-5.73
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-6.13
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-3.70
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-4.35
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-6.53
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-7.02
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-6.87
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-7.30
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-6.41
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-6.32
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-8.19
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-5.51
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-7.21
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-6.93
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.16
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.93
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.02
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.25
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.70
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.44
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.28
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.06
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.28
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.64
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.02
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-4.08
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-4.20
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-3.33
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,12.39
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,13.28
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,15.53
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,19.39
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,19.22
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,16.67
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,13.17
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,9.89
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,8.37
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,7.56
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,7.66
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,10.84
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,7.56
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,5.95
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,12.13
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,13.55
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,14.67
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,17.96
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,19.68
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,18.35
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,15.46
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,12.57
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,11.00
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,10.03
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,9.23
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,13.01
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,9.82
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,7.47
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,59.79
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,59.69
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,57.60
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,55.10
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,56.45
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,60.84
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,62.93
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,64.23
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,66.52
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,66.38
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,61.27
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,60.93
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,68.49
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,70.92
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,49.89
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,50.71
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,48.29
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,48.66
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,48.18
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,50.32
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,52.34
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,53.70
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,56.61
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,56.46
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,52.87
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,54.26
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,58.33
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,59.16
